outcome,coef_name,est,lo,hi,pval,nobs,note
extr,(Intercept),1.93333333333334,1.00320577093039,2.86346089573628,0.0000924046888765223,10,""
extr,condition_expl,-0.600000000000002,-1.91539901348541,0.715399013485405,0.366196253399716,10,""
extr,time_postTRUE,-0.533333333333333,-2.33367769563005,1.26701102896338,0.556064903899564,10,""
extr,issue_num,-0.200000000000002,-0.769318875753722,0.369318875753718,0.485350526040816,10,""
extr,condition_expl:time_postTRUE,0.799999999999998,-1.74607141409632,3.34607141409632,0.532430069146705,10,""
extr,condition_expl:issue_num,0.400000000000001,-0.405138475408968,1.20513847540897,0.324696240380043,10,""
extr,time_postTRUE:issue_num,0.2,-0.938637751498997,1.338637751499,0.726817176922869,10,""
extr,condition_expl:time_postTRUE:issue_num,-0.199999999999999,-1.81027695079641,1.41027695079641,0.804834033668802,10,""
underst,(Intercept),4.93333333333336,3.55750991803924,6.30915674862747,0.00000000219177361190079,10,""
underst,condition_expl,0.399999999999979,-1.54570813335362,2.34570813335358,0.681762933358029,10,""
underst,time_postTRUE,0.46666666666667,-1.92012333920754,2.85345667254088,0.697392037582514,10,""
underst,issue_num,-0.46666666666668,-1.22143593818241,0.288102604849051,0.221279805014099,10,""
underst,condition_expl:time_postTRUE,0.999999999999994,-2.37543079684669,4.37543079684668,0.556039827786036,10,""
underst,condition_expl:issue_num,0.600000000000012,-0.46740494023629,1.66740494023631,0.265655503670787,10,""
underst,time_postTRUE:issue_num,0.666666666666665,-0.842871876351692,2.17620520968502,0.380932887332364,10,""
underst,condition_expl:time_postTRUE:issue_num,-0.999999999999997,-3.13480988046191,1.13480988046192,0.352900006007075,10,""
