"","analysis","mn0","mn1","med0","med1","est","se","lo","hi","pval","nobs","g","g.se","g.lo","g.hi","pvalBonf","group","group.specific"
"treat...1","mainY CC",56.4912587412587,53.1625560538117,49,49,-2.40386317758717,3.24241853376425,-8.77471983381338,3.96699347863905,0.45882061808863,509,-0.0687397661695772,0.0927187095808726,-0.250917853896038,0.113438321556884,NA,"mainY","mainY"
"treat...2","totalMeat CC",30.9510489510489,26.72533632287,27.25,24.5,-3.40399527487937,2.22794699499902,-7.78157046913734,0.9735799193786,0.127196043710251,509,-0.139658261655387,0.0914076487350393,-0.319260315279706,0.0399437919689315,1,"secY","secY food"
"treat...3","totalAnimProd CC",25.5402097902098,26.4372197309417,21,21.25,1.00013209729221,1.79389006698245,-2.52458760029269,4.52485179487711,0.577427407113557,509,0.0506444180206721,0.0908385189130139,-0.12783938252276,0.229128218564104,1,"secY","secY food"
"treat...4","chicken CC",10.9388111888112,10.2713004484305,10,10,-0.569716012657519,0.8655682114352,-2.27042520359527,1.13099317828023,0.510721374475784,509,-0.0584456981287463,0.0887964130750027,-0.23291707293647,0.116025676678978,1,"secY","secY food"
"treat...5","turkey CC",2.70891608391609,1.80269058295964,0,0,-1.01562232780065,0.499801387868094,-1.99765563581839,-0.0335890197829095,0.0426906303829675,509,-0.18472621501791,0.0909062513833323,-0.363343099509289,-0.00610933052653058,0.725740716510447,"secY","secY food"
"treat...6","fish CC",4.48513986013986,3.6042600896861,3.5,0,-0.803561714432581,0.52194869285503,-1.82911109044839,0.221987661583233,0.124321606095418,509,-0.135626733555799,0.0880955314622398,-0.308720983158557,0.0374675160469582,1,"secY","secY food"
"treat...7","pork CC",3.3715034965035,3.07511210762332,0,0,-0.0747188978933371,0.508666350966213,-1.0741705029547,0.924732707168027,0.883278240717112,509,-0.0133481870708515,0.0908709014824732,-0.191895614412008,0.165199240270305,1,"secY","secY food"
"treat...8","beef CC",7.2263986013986,6.61883408071749,5,5,-0.192336329302077,0.69641689595769,-1.56068904839711,1.17601638979296,0.782527077492595,509,-0.0245417773299522,0.0888615710377163,-0.19914117757182,0.150057622911915,1,"secY","secY food"
"treat...9","otherMeat CC",2.22027972027972,1.35313901345291,0,0,-0.748039992793216,0.423284751842628,-1.57972981033968,0.083649824753249,0.077816549898051,509,-0.156513473508861,0.0885644717294412,-0.330529119036162,0.0175021720184387,1,"secY","secY food"
"treat...10","dairy CC",17.2395104895105,18.7948430493273,12.25,12.25,1.53330877975632,1.4425360289024,-1.30105395468986,4.3676715142025,0.288342375310395,509,0.093470125446112,0.0879366409181276,-0.0793119285316736,0.266252179423898,1,"secY","secY food"
"treat...11","eggs CC",8.3006993006993,7.64237668161435,7,4,-0.533176682464114,0.819818079419901,-2.14399385914221,1.07764049421398,0.515766554478333,509,-0.0602393980724077,0.092624732583755,-0.242232835368524,0.121754039223708,1,"secY","secY food"
"treat...12","totalGood CC",65.0804195804196,67.3991031390134,57.75,57.75,2.77122500239762,3.58745144471493,-4.27756856865227,9.82001857344751,0.440206474152583,509,0.0701047414124094,0.090753134676442,-0.108211292161325,0.248420774986144,1,"secY","secY food"
"treat...13","importHealth CC",3.88461538461538,3.8609865470852,4,4,-0.0480411224471991,0.0987755574837865,-0.242119990216769,0.146037745322371,0.62692612424601,509,-0.0411088776492631,0.084522427880439,-0.207182525037823,0.124964769739297,1,"secY","secY psych"
"treat...14","importEnviro CC",3.52797202797203,3.48878923766816,3,3,-0.0223612320466307,0.106178591362004,-0.230985929470263,0.186263465377002,0.833287346872334,509,-0.0177084193920678,0.0840854843049964,-0.182923539463128,0.147506700678992,1,"secY","secY psych"
"treat...15","importAnimals CC",3.36363636363636,3.42600896860987,3,3,0.0286269442649364,0.110229938454047,-0.187958030747555,0.245211919277428,0.795203339423676,509,0.0228805492403592,0.0881030651129882,-0.150228502834231,0.195989601314949,1,"secY","secY psych"
"treat...16","activ CC",-0.0951161947518374,0.00528146658095085,-0.0980458831157753,0.0416025955652547,0.0771227939366286,0.0874539848624229,-0.0947109146893358,0.248956502562593,0.37828371320706,509,0.0768148509442443,0.0871047905397095,-0.0943327442290585,0.247962446117547,1,"secY","secY psych"
"treat...17","spec CC",0.040069753469967,-0.176160795410575,-0.00617633362635618,-0.278885218359312,-0.160967955876497,0.0784560635535987,-0.315122124903984,-0.00681378684901049,0.0407334808522455,509,-0.163308020456956,0.0795966151276326,-0.3197031989382,-0.00691284197571158,0.692469174488173,"secY","secY psych"
"treat...18","dom CC",0.0149422205328586,-0.117238125974932,-0.127300064795806,-0.322414182800594,-0.130358685205602,0.0767487202545175,-0.281158185701514,0.02044081529031,0.0900497359803638,509,-0.128754004121335,0.075803963720345,-0.277697202479947,0.0201891942372775,1,"secY","secY psych"
